playerId,player,position,team,conference,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR
4365454,Takairee Kenebrew,WR,North Alabama,UAC,,,1,,,,,,,787,,,,,,,42,,,,40,,,,,6957,,7.0,,16.5
4365575,Tim Lowery,DB,Duquesne,NEC,,,,,,,,,,,,,,0,,0,,0,1,,0,0,3,,,,,,,
4365710,Jaren Mitchell,WR,Incarnate Word,Southland,,,,,,,,,,9,,,,,,,4,,,,0,,,,,26,,,,6.5
4365814,Davion Ross,S,Sacramento State,Big Sky,,,,,,,,,,,,,,0,,0,,0,0,,0,0,1,,,,,,,
4365882,Logan Taylor,LB,Hawai'i,Mountain West,,7.0,,,,,,1,,,,,,0,,0,,0,32,,00,1.0,52,,,7,,,,
4366189,Marque Collins,CB,BYU,Big 12,,0.0,,,,,,2,,,,,,7,,1,,0,15,,00,1,23,,,0,,,,
4366640,Solomon Vanhorse,RB,Indiana,Big Ten,,21.0,,,,,,,,3214,,4,,0,,0,1,0,3,,000,0,3,,,8414,,,,14.0
4367032,Dylan Brown,DL,Jacksonville State,Conference USA,,,,,,,,,,,,,,0,,0,,0,0,,0,0.5,5,,,,,,,
4367042,John Erby,WR,Duquesne,NEC,1,0.05.3,3,0,,,1,0,,0324513,1,116,0.000,,,,048,,,,00080,,,,,008568110,0.0,3.3,,14.2
4367066,Gregory Young II,DB,Morgan State,MEAC,,,,,,,,,,,,,,0,,0,,0,3,,0,1,8,,,,,,,
4367069,Ty Son Lawton,RB,Indiana,Big Ten,1,,131,0,,,,0,,3529,,,0.000,,,,11,,,,0012,,,,,0114634,0.0,4.8,,10.4
4367990,Zach Beagle,LB,Nevada,Mountain West,,,,,,,,,,,,,,0,,0,,0,1,,0,0,1,,,,,,,
4368092,Iverson Brown,S,Southern Illinois,MVFC,,9.0,,,,,0,2,,,0,,,0,,0,1,0,4,,00,0,7,,,18,,,,
4368612,Jay Parker,WR,Tennessee Tech,Big South-OVC,,14.8,3,,,,,,,197912,,5,,,,,14,,,,010,,,,,7417415,,5.0,,12.4
4368909,Jeremiah Edwards,WR,UT Martin,Big South-OVC,,,,,,,,,,18,,,,,,,2,,,,0,,,,,26,,,,13.0
4369910,Chance Newman,QB,Northwestern State,Southland,1,,13,1,,,1,0,,3214,0,,1.000,,,,04,,,,001,,,,,66330,6.0,2.3,,15.8
4370170,Landon Parker,WR,Troy,Sun Belt,3,,,1,,,,0,,33,,,0.333,0,,0,27,0,1,,000,0,1,,,29350,9.7,,,13.0
4370981,Keilon Elder,RB,Grambling,SWAC,,23.5,40,,,,2,,,65422,0,8,,0,,0,03,0,1,,0003,0,1,,,1889214,,5.4,,3.0
4371078,Romelo Williams,QB,Virginia St,CIAA,20,,11,14,,,,1,,15,,,0.700,,,,,,,,11,,,,,17153,8.6,4.8,,
4372043,Ahmad McCullough,LB,Morgan State,MEAC,,7.0,,,,,,1,,,,,,0,,0,,0,1,,00,0,4,,,7,,,,
4372046,Fa'Najae Gotay,LB,Auburn,SEC,,,,,,,,,,,,,,0,,0,,0,3,,0,0,5,,,,,,,
4372371,Justin Wright,LB,Oklahoma State,Big 12,,,,,,,,,,,,,,0,,0,,0,13,,0,1,17,,,,,,,
4373653,Kenneth Almendares,PK,Louisiana,Sun Belt,,,,,29,27,,,,53,,,0.931,,127,,,,,,,,,47,46,,,,,
4373812,Bryan Addison,DB,UCLA,Big Ten,,53.0,,,,,0,2,,,0,,,5,,0,1,0,31,,11,1,43,,,106,,,,
4373863,Keith Gallmon,S,Austin Peay,UAC,,0.0,,,,,,1,,,,,,,,,,,,,0,,,,,0,,,,
4373875,Maurice Strong Jr.,DL,South Alabama,Sun Belt,,,,,,,,,,,,,,1,,1,,1,17,,0,5.0,35,,,,,,,
4373895,Ben Wooldridge,QB,Louisiana,Sun Belt,271,,61,185,,,1,5,,18,0,,0.683,,,,0,,,,175,,,,,2392192,8.8,3.1,,
4373912,Matt Lawson,DL,New Mexico State,Conference USA,,,,,,,,,,,,,,2,,0,,0,14,,0,3.5,30,,,,,,,
4374032,Jaden Robinson,DB,Oregon State,Pac-12,,,,,,,0,,,,0,,,3,,0,1,0,28,,0,1.5,38,,,,,,,
4374118,Justin Holloway,LS,Arizona,Big 12,,,,,,,,,,,,,,0,,0,,0,0,,0,0,1,,,,,,,
4374313,Solomon Tuliaupupu,LB,USC,Big Ten,,,,,,,0,,,,0,,,0,,0,1,1,8,,0,1,13,,,,,,,
4376241,D'Angelo Durham,RB,McNeese,Southland,,,54,,0,0,,,,01327,,,0,,0,,7,,,,03,,,1,0,56232,,4.3,,8.0
4379400,Matthew Downing,QB,Elon,CAA,233,,65,144,,,1,4,,21,1,,0.618,,,,0,,,,163,,,,,2049-18,8.8,-0.3,,
4379471,Tyler Brown,WR,Clemson,ACC,,,1,,,,,,,160,,,,,,,5,,,,00,,,,,30-2,,-2.0,,6.0
4379523,Zach Lewis,S,Northern Arizona,Big Sky,,12.535.0,,,,,,2,,35,,1,,1,,0,,0,2,,000,0.5,3,,,2535,,,,
4381230,Brennen Milliron,LS,Southern Miss,Sun Belt,,,,,,,,,,,,,,0,,0,,0,1,,0,0,1,,,,,,,
4383073,Cherif Seye,DL,UCLA,Big Ten,,,,,,,,,,,,,,1,,1,,0.5,2,,0,0.5,4,,,,,,,
4383431,Cameron Lewis,WR,East Tennessee State,Southern,,,,,,,,,,32,,,,,,,19,,,,2,,,,,207,,,,10.9
4384212,Steven Shaw,DL,Prairie View A&M,SWAC,,,,,,,,,,,,,,0,,0,,0,0,,0,0,2,,,,,,,
4384603,Will McElvain,QB,Central Arkansas,UAC,257,,36,169,,,5,6,4,6418,2,8,0.658,,,,0,,,1,140,,,,,1958328-23,7.6,-0.6,41.0,
4395522,Jacob Van Landingham,WR,Northern State,Northern Sun,,,,,,,,,,5,,,,,,,2,,,,0,,,,,9,,,,4.5
4426333,John Emery Jr.,RB,LSU,SEC,,,10,,,,,,,1039,,,,,,,1,,,,00,,,,,1061,,6.1,,10.0
4426335,Graham Mertz,QB,Florida,SEC,94,,18,72,,,2,2,,16,1,,0.766,,,,0,,,,61,,,,,79156,8.4,3.1,,
4426337,Bru McCoy,WR,Tennessee,SEC,,,2,,,,,,,429,,,,,,,35,,,,20,,,,,43215,,7.5,,12.3
4426352,Jacob Bandes,DL,Washington,Big Ten,,1.0,,,,,,1,,,,,,0,,0,,0,8,,00,0,28,,,1,,,,
4426357,Kyle Ford,WR,USC,Big Ten,,,,,,,1,,,41,0,,,,,,020,,,,2,,,,,258,,,,12.9
4426363,Julian Barnett,DB,Memphis,American Athletic,,,,,,,,,,,,,,1,,0,,0,0,,0,0,1,,,,,,,
4426373,Marcel Brooks,LB,TCU,Big 12,,,,,,,,,,,,,,0,,1,,2.5,3,,0,2.5,5,,,,,,,
4426396,Brendan Gant,LB,Colorado,Big 12,,,,,,,0,,,,0,,,0,,0,1,0,9,,0,0.5,10,,,,,,,
4426398,David Gbenda,LB,Texas,SEC,,,,,,,,,,,,,,0,,1,,0,30,,0,5.0,55,,,,,,,
4426401,Bill Norton,DL,Texas,SEC,,,,,,,,,,,,,,0,,1,,0,5,,0,0,11,,,,,,,
4426409,Chez Mellusi,RB,Wisconsin,Big Ten,,,56,,,,2,,,1021,1,,,,,,06,,,,03,,,,,17232,,4.1,,2.8
4426410,Mycah Pittman,WR,Utah,Big 12,,5.6,,,,,,,,1721,,8,,,,,6,,,,00,,,,,4550,,,,8.3
4426413,De'Monte Russell,DL,Mississippi State,SEC,,,,,,,,,,,,,,0,,2,,0,6,,0,1.0,23,,,,,,,
4426415,Shammond Cooper,LB,Akron,Mid-American,,,,,,,,,,,,,,1,,0,,0,4,,0,0.5,7,,,,,,,
4426417,Jacob Zeno,QB,UAB,American Athletic,118,,37,82,,,2,5,,26,1,,0.695,,,,0,,,,60,,,,,81997,6.9,2.6,,
